date,lid,htid,atid,corn_h,corn_a,h_n,corn_f_h,corn_a_h,sot_f_h,ibox_f_h,xg_f_h,poss_f_h,a_n,corn_f_a,corn_a_a,sot_f_a,ibox_f_a,xg_f_a,poss_f_a,lg_n,lg_corn,lg_xg
2024-01-06T14:30:00+00:00,96,237,245,6.0,2.0,0.0,,,,,,,0.0,,,,,,,5.976961695270189,7.500963629428478,0.0
2024-01-06T14:30:00+00:00,96,2884,3014,2.0,10.0,0.0,,,,,,,0.0,,,,,,,6.976961695270189,7.572489945949583,0.0
2024-01-06T14:30:00+00:00,96,2907,254,4.0,3.0,0.0,,,,,,,0.0,,,,,,,7.976961695270189,8.127527092069469,0.0
2024-01-06T15:00:00+00:00,44,37,2,0.0,7.0,0.0,,,,,,,0.0,,,,,,,15.085364115147518,9.394568210418347,0.0
2024-01-06T15:00:00+00:00,44,39,14,2.0,8.0,0.0,,,,,,,0.0,,,,,,,16.08536411514752,9.245701937123146,0.0
2024-01-06T15:00:00+00:00,44,83,27,6.0,7.0,0.0,,,,,,,0.0,,,,,,,17.08536411514752,9.28985072188379,0.0
2024-01-06T15:00:00+00:00,122,3640,116,9.0,4.0,0.0,,,,,,,0.0,,,,,,,10.201348690159039,11.66530430452743,0.0
2024-01-06T16:00:00+00:00,122,114,98,4.0,3.0,0.0,,,,,,,0.0,,,,,,,11.201348690159039,11.784459214564752,0.0
2024-01-06T17:00:00+00:00,96,258,247,3.0,4.0,0.0,,,,,,,0.0,,,,,,,8.97696169527019,8.001924785816614,0.0
2024-01-06T17:00:00+00:00,96,276,255,2.0,4.0,0.0,,,,,,,0.0,,,,,,,9.97696169527019,7.901500947736571,0.0
2024-01-06T17:00:00+00:00,96,3016,2880,3.0,11.0,0.0,,,,,,,0.0,,,,,,,10.97696169527019,7.728274421077933,0.0
2024-01-06T17:00:00+00:00,96,2873,2881,2.0,5.0,0.0,,,,,,,0.0,,,,,,,11.97696169527019,8.251923551674954,0.0
2024-01-06T17:00:00+00:00,96,2962,267,5.0,4.0,0.0,,,,,,,0.0,,,,,,,12.97696169527019,8.155450773140727,0.0
2024-01-06T17:00:00+00:00,96,2979,248,5.0,5.0,0.0,,,,,,,0.0,,,,,,,13.97696169527019,8.215875151862827,0.0
2024-01-06T17:00:00+00:00,122,119,100,9.0,5.0,0.0,,,,,,,1.5239165436309123,9.344601444019673,4.3446014440196725,5.310797111960655,14.207198074640434,0.0,0.0,12.201348690159039,11.392333775315265,0.0
2024-01-06T17:30:00+00:00,44,19,26,8.0,2.0,0.0,,,,,,,0.0,,,,,,,18.08536411514752,9.494997228998276,0.0
2024-01-06T17:30:00+00:00,44,35,3,5.0,12.0,0.0,,,,,,,0.0,,,,,,,19.08536411514752,9.521457440496203,0.0
2024-01-06T18:00:00+00:00,122,134,110,5.0,2.0,0.0,,,,,,,0.0,,,,,,,13.201348690159039,11.5898640645219,0.0
2024-01-06T19:00:00+00:00,122,102,99,9.0,5.0,0.0,,,,,,,0.8360532082885094,9.0,4.0,5.0,11.0,0.0,0.0,14.201348690159039,11.266664897691886,0.0
2024-01-06T19:45:00+00:00,96,244,243,10.0,3.0,0.0,,,,,,,0.0,,,,,,,14.97696169527019,8.334999770356083,0.0
2024-01-07T11:00:00+00:00,122,3681,101,8.0,5.0,0.0,,,,,,,0.8360532082885094,5.0,4.0,3.0,4.0,0.0,0.0,15.11379536430204,11.44647362111638,0.0
2024-01-07T11:00:00+00:00,122,135,111,8.0,5.0,0.0,,,,,,,0.0,,,,,,,16.113795364302042,11.54288333364911,0.0
2024-01-07T13:30:00+00:00,96,260,251,9.0,4.0,0.0,,,,,,,0.0,,,,,,,15.884941167222152,8.626982709203896,0.0
2024-01-07T13:30:00+00:00,96,235,269,4.0,1.0,0.0,,,,,,,0.0,,,,,,,16.884941167222152,8.885971902443444,0.0
2024-01-07T13:30:00+00:00,96,246,241,6.0,3.0,0.0,,,,,,,0.0,,,,,,,17.884941167222152,8.668695710919522,0.0
2024-01-07T13:30:00+00:00,96,2945,252,1.0,9.0,0.0,,,,,,,0.0,,,,,,,18.884941167222152,8.686239016251895,0.0
2024-01-07T13:30:00+00:00,96,2903,238,2.0,6.0,0.0,,,,,,,0.0,,,,,,,19.884941167222152,8.752307151565953,0.0
2024-01-07T14:00:00+00:00,44,16,34,9.0,6.0,0.0,,,,,,,0.0,,,,,,,19.969680930374025,9.893795353646794,0.0
2024-01-07T14:00:00+00:00,44,20,58,11.0,0.0,0.0,,,,,,,0.0,,,,,,,20.969680930374025,10.137299518698585,0.0
2024-01-07T14:00:00+00:00,44,15,60,7.0,0.0,0.0,,,,,,,0.690956439983888,4.0,5.0,5.0,6.0,0.0,0.0,21.969680930374025,10.176567293412086,0.0
2024-01-07T14:00:00+00:00,44,64,46,4.0,4.0,0.8169577266205499,6.0,5.0,5.0,9.0,0.0,0.0,0.690956439983888,7.000000000000001,5.0,8.0,12.0,0.0,0.0,22.969680930374025,10.0382733700859,0.0
2024-01-07T14:00:00+00:00,44,44,48,11.0,2.0,0.0,,,,,,,0.0,,,,,,,23.969680930374025,9.953237888136576,0.0
2024-01-07T15:00:00+00:00,122,130,105,3.0,11.0,0.0,,,,,,,0.0,,,,,,,17.113795364302042,11.628026145943705,0.0
2024-01-07T15:00:00+00:00,122,131,104,5.0,10.0,0.0,,,,,,,0.0,,,,,,,18.113795364302042,11.758974619543606,0.0
2024-01-07T16:30:00+00:00,44,11,1,5.0,2.0,0.0,,,,,,,0.0,,,,,,,24.969680930374025,10.075256352063251,0.0
2024-01-07T16:30:00+00:00,96,2967,2958,4.0,2.0,0.0,,,,,,,0.0,,,,,,,20.884941167222152,8.71628563991589,0.0
2024-01-07T16:30:00+00:00,96,2935,274,2.0,6.0,0.0,,,,,,,0.0,,,,,,,21.884941167222152,8.59216898732081,0.0
2024-01-07T16:30:00+00:00,96,2974,2947,4.0,6.0,0.0,,,,,,,0.0,,,,,,,22.884941167222152,8.56629306380439,0.0
2024-01-07T16:30:00+00:00,96,2981,266,7.0,4.0,0.0,,,,,,,0.0,,,,,,,23.884941167222152,8.626318622425531,0.0
2024-01-07T16:30:00+00:00,96,2936,239,12.0,1.0,0.0,,,,,,,0.0,,,,,,,24.884941167222152,8.721704878781283,0.0
2024-01-07T16:30:00+00:00,96,2942,249,6.0,5.0,0.0,,,,,,,0.0,,,,,,,25.884941167222152,8.886986116763632,0.0
2024-01-07T18:00:00+00:00,122,129,97,4.0,3.0,0.0,,,,,,,0.8360532082885094,9.0,5.0,14.0,19.0,0.0,0.0,19.113795364302042,11.928539340661711,0.0
2024-01-07T18:00:00+00:00,122,136,107,5.0,4.0,0.0,,,,,,,0.6830201283771977,5.0,6.0,4.0,12.0,0.0,0.0,20.113795364302042,11.683506553393283,0.0
2024-01-07T19:45:00+00:00,96,2952,236,2.0,8.0,0.0,,,,,,,0.0,,,,,,,26.884941167222152,8.965580816677372,0.0
2024-01-07T20:00:00+00:00,122,122,109,2.0,5.0,0.0,,,,,,,1.5103241180564484,2.899258925676879,4.550370537161561,4.899258925676879,8.798517851353758,0.0,0.0,21.113795364302042,11.556409245349348,0.0
2024-01-07T21:00:00+00:00,122,138,103,8.0,5.0,0.0,,,,,,,0.8312378961427878,6.0,5.000000000000001,6.999999999999999,13.999999999999998,0.0,0.0,22.113795364302042,11.350365498887594,0.0
2024-01-08T17:00:00+00:00,122,3659,115,3.0,7.0,0.0,,,,,,,0.762248511627881,13.0,5.0,8.0,19.0,0.0,0.0,22.980669699035722,11.421735625477025,0.0
2024-01-08T20:15:00+00:00,44,53,7,2.0,12.0,0.0,,,,,,,0.0,,,,,,,25.820106574621548,9.95683917318808,0.0
2024-01-16T19:00:00+00:00,122,98,104,7.0,2.0,0.0,,,,,,,0.9493421209505192,10.0,5.0,5.0,10.0,0.0,0.0,22.897741118273196,11.362448889813665,0.0
2024-01-16T19:45:00+00:00,44,34,16,6.0,9.0,0.9493421209505192,9.0,6.0,4.0,13.0,0.0,0.0,0.0,,,,,,,25.608953578759944,10.107590282828998,0.0
2024-01-16T20:00:00+00:00,122,97,102,0.0,2.0,0.9438743126816935,9.0,4.999999999999999,2.0,11.0,0.0,0.0,0.7891291473386416,10.0,5.0,6.0,13.999999999999998,0.0,0.0,23.897741118273196,11.263592312611594,0.0
2024-01-16T21:00:00+00:00,122,138,111,4.0,5.0,0.0,,,,,,,0.9493421209505192,5.0,8.0,5.0,7.0,0.0,0.0,24.897741118273196,10.891526739730658,0.0
2024-01-17T19:00:00+00:00,122,107,101,13.0,4.0,0.0,,,,,,,1.733003460020335,5.0,6.178586100850873,3.544646525212719,6.178586100850873,0.0,0.0,25.748581105349064,10.818488449205926,0.0
2024-01-17T19:45:00+00:00,44,13,18,5.0,1.0,0.9276591169413094,7.0,7.0,3.0,6.0,0.0,0.0,0.0,,,,,,,26.45569728348773,10.291453571653562,0.0
2024-01-17T19:45:00+00:00,44,60,15,10.0,11.0,0.9438743126816935,7.000000000000001,0.0,6.0,9.999999999999998,0.0,0.0,0.0,,,,,,,27.45569728348773,10.135148906456278,0.0
2024-01-17T20:00:00+00:00,122,105,109,9.0,5.0,0.0,,,,,,,2.3694304515388085,3.736099499056529,3.5344178484959565,5.337744564406009,8.878779259510978,0.0,0.0,26.748581105349064,11.049585251180142,0.0
2024-01-17T20:30:00+00:00,122,100,110,3.0,7.0,0.0,,,,,,,0.9384379966711431,2.0,5.0,2.9999999999999996,7.0,0.0,0.0,27.748581105349064,11.155911940015814,0.0
2024-01-18T18:30:00+00:00,122,3659,108,3.0,5.0,0.0,,,,,,,0.0,,,,,,,28.583001462335385,11.115704322958818,0.0
2024-01-18T20:30:00+00:00,122,116,112,0.0,9.0,0.0,,,,,,,0.0,,,,,,,29.583001462335385,11.010383558704195,0.0
2024-01-19T19:45:00+00:00,96,2967,252,3.0,4.0,0.0,,,,,,,0.9330329915368074,9.0,1.0,8.0,12.000000000000002,0.0,0.0,26.01757007608116,9.002676795367782,0.0
2024-01-19T23:00:00+00:00,32,620,621,10.0,2.0,0.0,,,,,,,0.0,,,,,,,,,
2024-01-20T01:15:00+00:00,32,622,623,7.0,4.0,0.0,,,,,,,0.0,,,,,,,0.9942404238175473,12.0,0.0
2024-01-20T16:30:00+00:00,96,2880,244,3.0,7.0,0.9223161935859392,9.999999999999998,3.0,4.999999999999999,7.000000000000001,0.0,0.0,0.0,,,,,,,26.861960322963217,8.92855181707668,0.0
2024-01-20T16:30:00+00:00,96,250,266,7.0,2.0,0.0,,,,,,,0.9276591169413094,4.0,7.0,9.0,10.0,0.0,0.0,27.861960322963217,8.967007409235437,0.0
2024-01-20T16:30:00+00:00,96,2906,254,6.0,5.0,0.0,,,,,,,0.9223161935859392,3.0,4.0,4.0,8.0,0.0,0.0,28.861960322963217,8.968150526002121,0.0
2024-01-20T16:30:00+00:00,96,262,241,6.0,5.0,0.0,,,,,,,0.9276591169413094,3.0,6.0,5.0,7.0,0.0,0.0,29.861960322963217,9.036191922213991,0.0
2024-01-20T16:30:00+00:00,96,3014,267,2.0,5.0,0.0,,,,,,,0.9223161935859392,4.0,4.999999999999999,4.999999999999999,6.0,0.0,0.0,30.861960322963217,9.099823916333458,0.0
2024-01-20T16:30:00+00:00,96,3026,237,4.0,6.0,0.9223161935859392,6.0,2.0,6.0,8.0,0.0,0.0,0.0,,,,,,,31.861960322963217,9.033920127142556,0.0
2024-01-20T19:45:00+00:00,96,2901,236,4.0,10.0,0.0,,,,,,,0.9276591169413094,8.0,2.0,18.0,24.0,0.0,0.0,32.86196032296321,9.06331824774653,0.0
2024-01-20T21:00:00+00:00,32,624,625,4.0,4.0,0.0,,,,,,,0.0,,,,,,,1.9942404238175473,11.498555947388873,0.0
2024-01-20T23:10:00+00:00,32,626,627,8.0,4.0,0.0,,,,,,,0.0,,,,,,,2.9942404238175473,10.330127413875074,0.0
2024-01-21T01:20:00+00:00,32,628,629,11.0,2.0,0.0,,,,,,,0.0,,,,,,,3.971235291805538,10.748197537087366,0.0
2024-01-21T16:30:00+00:00,96,263,248,6.0,6.0,0.0,,,,,,,0.9170040432046712,5.0,5.0,10.0,12.0,0.0,0.0,33.66692978279592,9.209106669479032,0.0
2024-01-21T16:30:00+00:00,96,2881,235,3.0,2.0,0.9223161935859392,4.0,1.0,4.999999999999999,14.000000000000002,0.0,0.0,0.0,,,,,,,34.66692978279592,9.289612596828446,0.0
2024-01-21T16:30:00+00:00,96,276,239,2.0,12.0,0.0,,,,,,,0.9223161935859392,1.0,12.0,4.0,6.0,0.0,0.0,35.66692978279592,9.169343972000032,0.0
2024-01-21T16:30:00+00:00,96,2992,240,4.0,2.0,0.0,,,,,,,0.0,,,,,,,36.66692978279592,9.301088191017424,0.0
2024-01-21T16:30:00+00:00,96,274,249,2.0,6.0,0.0,,,,,,,0.9223161935859392,4.999999999999999,6.0,4.999999999999999,9.999999999999998,0.0,0.0,37.66692978279592,9.213449293712733,0.0
2024-01-21T16:30:00+00:00,96,2947,2969,3.0,2.0,0.0,,,,,,,0.0,,,,,,,38.66692978279592,9.182067197939185,0.0
2024-01-21T20:05:00+00:00,96,251,238,2.0,5.0,0.0,,,,,,,0.9223161935859392,6.0,2.0,6.0,12.0,0.0,0.0,39.66692978279592,9.076637631778182,0.0
