fid,date,lg,htid,atid,y,h_f_ts,h_f_sot,h_f_ibox,h_f_corn,h_f_ts_v,h_a_ts,h_a_sot,h_a_blk,h_n,a_f_ts,a_f_sot,a_f_ibox,a_f_corn,a_f_ts_v,a_a_ts,a_a_sot,a_a_blk,a_n,lgm,h_rest,a_rest,h_l5_mean,h_l5_std,h_l5_n,a_l5_mean,a_l5_std,a_l5_n
1153126,2024-02-16,32,630,629,16,14.051939257520845,5.89612148495831,6.422091113718732,2.051939257520845,14.051939257520845,9.0,1.0,2.5259696287604227,5,7.388720433551775,1.684478703998535,3.019763025554704,4.092962163105014,7.388720433551775,10.22841209756496,3.687405186332789,0.9465638880043945,6,24.832376501803818,5,3,12.4,2.4166091947189146,5,10.4,3.4409301068170506,5
1153121,2024-02-17,32,623,634,30,8.547637843021993,4.031758562014662,5.000000000000001,3.515879281007331,8.547637843021993,17.127034248058646,4.095275686043985,3.515879281007331,5,10.675316646671183,4.307975226118091,4.390397199995132,2.9803977122177643,10.675316646671183,15.599801656113748,4.569838893352104,3.370794912212896,6,24.665105832833657,3,6,9.2,3.1240998703626617,5,14.0,4.242640687119285,5
1169750,2024-02-17,112,3421,3428,31,23.0,9.0,14.000000000000002,6.0,23.0,9.999999999999998,2.0,1.0,3,19.0,3.0,6.0,4.999999999999999,19.0,9.999999999999998,4.0,3.0,3,25.833517761407084,6,7,15.333333333333334,5.792715732327589,3,14.333333333333334,5.2493385826745405,3
1169751,2024-02-17,112,3419,3417,20,13.0,3.0,6.0,4.0,13.0,10.0,3.0,2.0,3,13.046176948783168,3.4769115256084158,4.476911525608416,4.907646102433664,13.046176948783168,18.092353897566337,5.999999999999999,4.092353897566336,3,26.018064654275616,6,6,10.333333333333334,2.494438257849294,3,15.666666666666666,3.858612300930075,3
1153129,2024-02-17,32,631,627,25,10.369737244827895,3.3822425413350214,4.043851490497496,3.3455606353337557,10.369737244827895,11.306210873327041,4.342892779328307,1.9731555345004128,6,11.147039352333985,3.350521818404848,8.073980876413536,5.387973456858157,11.147039352333985,10.112620571416842,3.0,1.8894898856262405,6,24.764825758084008,2,6,10.0,3.286335345030997,5,14.4,3.006659275674582,5
1169752,2024-02-18,112,3429,3418,18,9.999999999999998,2.0,8.0,3.0,9.999999999999998,11.0,2.0,2.0,3,15.492780218709077,3.9855604374181546,8.463901093545386,5.985560437418155,15.492780218709077,10.507219781290923,3.9855604374181546,1.4927802187090773,5,25.81051296548017,7,3,12.333333333333334,2.0548046676563256,3,22.0,8.508818954473059,5
1153123,2024-02-18,32,622,639,21,11.528796058294422,3.628614999011287,6.592156227161382,8.642951061260561,11.528796058294422,9.455363899488841,4.036458771849905,2.0158400422167406,6,10.332492446443565,2.3677471240654318,7.71377540720086,3.044852767752216,10.332492446443565,10.000000000000002,3.4261357285095113,1.9633302364859244,6,24.76914097852577,6,4,12.0,3.521363372331802,5,15.2,5.74108003776293,5
1153128,2024-02-18,32,636,620,35,18.642748521339946,5.355047347110874,8.862381171902141,6.341137286224677,18.642748521339946,9.565900550670312,1.980236974445296,2.309668331332958,6,9.549354276365422,1.6857248504717166,2.274677138182711,3.334074155201069,9.549354276365422,16.31094145112347,5.998888767198396,4.66592584479893,6,24.700840741097334,5,4,14.4,4.586937976471886,5,9.6,3.0724582991474434,5
1169753,2024-02-18,112,3433,3430,23,10.0,4.0,6.0,3.0,10.0,19.0,3.0,4.0,3,8.0,4.0,4.999999999999999,2.0,8.0,3.0,1.0,0.0,3,25.54866560947139,6,7,8.0,2.160246899469287,3,16.333333333333332,5.90668171555645,3
1153130,2024-02-18,32,637,628,29,18.0,6.0,4.0,5.0,18.0,14.0,4.0,4.0,5,10.959571922221192,2.9595719222211923,7.4898929805552985,4.489892980555298,10.959571922221192,14.510107019444701,4.489892980555298,4.040428077778807,6,24.884149092446602,5,2,13.6,4.800000000000001,5,15.8,4.445222154178573,5
1169754,2024-02-18,112,3424,3423,25,18.70640312040965,6.037527840074483,11.075055680148965,4.0,18.70640312040965,10.075055680148965,2.962472159925518,3.593819600186205,3,8.0,2.0,3.0,0.0,8.0,18.0,5.0,7.0,3,25.46599321569654,8,7,15.666666666666666,6.018490028422596,3,14.333333333333334,4.921607686744467,3
1153125,2024-02-18,32,621,624,24,14.573810443778255,4.334929166687651,6.911133360497384,6.578597943841209,14.573810443778255,9.321208039602359,2.986278872914707,2.6424160792047178,6,8.07558395958919,2.6687971143114453,4.7379897309663,4.953371355659618,8.07558395958919,13.725207045097628,4.744381073900636,2.638341099351202,6,24.956123542768314,3,4,12.2,4.955804677345546,5,11.0,4.33589667773576,5
1169755,2024-02-19,112,3431,3422,28,10.0,5.0,7.0,2.0,10.0,16.0,5.0,1.0,3,4.999999999999999,3.0,3.0,3.0,4.999999999999999,21.0,4.999999999999999,6.0,3,25.451352460849773,10,8,6.666666666666667,2.8674417556808756,3,16.333333333333332,8.65383665716478,3
1153124,2024-02-19,32,632,626,40,9.520980248428735,4.022560743689591,6.788991128087863,4.291771920394746,9.520980248428735,11.976238959264379,4.0344412640574,2.673786815547854,5,6.870116147501832,3.3917634562515273,5.391763456251527,3.956705382500611,6.870116147501832,17.216473087496947,5.086589234998779,3.608236543748473,6,24.939691036503227,8,4,8.8,3.54400902933387,5,13.0,6.196773353931867,5
1169756,2024-02-19,112,3425,3426,18,13.0,4.999999999999999,7.000000000000001,1.0,13.0,9.999999999999998,4.0,1.0,3,11.0,2.0,4.0,1.0,11.0,10.0,2.0,2.0,3,25.529423640121667,9,7,11.333333333333334,2.357022603955158,3,12.666666666666666,3.0912061651652345,3
1153122,2024-02-20,32,633,638,23,11.586608724160929,6.551965234496556,5.517321744832186,6.586608724160926,11.586608724160929,11.482678255167816,3.482678255167815,2.4480347655034445,6,8.534651193221421,4.511550397740474,4.55775198870237,1.4653488067785776,8.534651193221421,15.0,3.5115503977404736,4.488449602259526,6,25.19560213785898,4,7,10.4,1.9595917942265424,5,13.0,4.427188724235731,5
1153137,2024-02-22,32,639,632,26,17.577161796465976,4.616039785512192,8.45978937554671,5.670986155968107,17.577161796465976,10.861967109823363,2.9584567401396384,2.986152246713213,7,8.0,4.959588434684541,4.520205782657729,3.4797942173422705,8.0,15.20205782657729,5.601028913288645,1.5202057826577289,6,25.158707969730962,4,3,15.6,5.425863986500215,5,12.2,5.114684741017769,5
1153131,2024-02-22,32,626,633,15,17.3483688110721,4.805941291823539,10.523005777948383,7.004284035470871,17.3483688110721,9.477078264586506,3.4408666922070292,1.4783942196969437,7,10.200451971247404,3.4743416565997647,5.741370063522714,3.2636724662803323,10.200451971247404,14.751146174984092,4.312542586751368,2.809765247824626,7,25.172769983816654,3,2,14.8,6.368673331236264,5,11.4,2.244994432064365,5
